season,week,gameday,home_team,away_team,game_id,home_ml,away_ml,home_prob,away_prob,home_prob_raw,away_prob_raw,home_field,home_rest_days,away_rest_days,home_travel_miles,away_travel_miles,home_prob_model,away_prob_model,home_kelly_5pct,away_kelly_5pct
2025,4,2025-09-28,LV,CHI,2025_04_CHI_LV,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,4,2025-09-28,NE,CAR,2025_04_CAR_NE,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,4,2025-09-28,NYG,LAC,2025_04_LAC_NYG,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,4,2025-09-28,PIT,MIN,2025_04_MIN_PIT,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,4,2025-09-28,SF,JAX,2025_04_JAX_SF,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,4,2025-09-28,TB,PHI,2025_04_PHI_TB,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,4,2025-09-29,DEN,CIN,2025_04_CIN_DEN,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,4,2025-09-29,MIA,NYJ,2025_04_NYJ_MIA,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-02,LAR,SF,2025_05_SF_LA,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-05,ARI,TEN,2025_05_TEN_ARI,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-05,BAL,HOU,2025_05_HOU_BAL,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-05,BUF,NE,2025_05_NE_BUF,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-05,CAR,MIA,2025_05_MIA_CAR,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-05,CIN,DET,2025_05_DET_CIN,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-05,CLE,MIN,2025_05_MIN_CLE,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-05,IND,LV,2025_05_LV_IND,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-05,LAC,WAS,2025_05_WAS_LAC,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-05,NO,NYG,2025_05_NYG_NO,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-05,NYJ,DAL,2025_05_DAL_NYJ,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-05,PHI,DEN,2025_05_DEN_PHI,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-05,SEA,TB,2025_05_TB_SEA,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,5,2025-10-06,JAX,KC,2025_05_KC_JAX,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-09,NYG,PHI,2025_06_PHI_NYG,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-12,BAL,LAR,2025_06_LA_BAL,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-12,CAR,DAL,2025_06_DAL_CAR,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-12,GB,CIN,2025_06_CIN_GB,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-12,IND,ARI,2025_06_ARI_IND,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-12,JAX,SEA,2025_06_SEA_JAX,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-12,KC,DET,2025_06_DET_KC,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-12,LV,TEN,2025_06_TEN_LV,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-12,MIA,LAC,2025_06_LAC_MIA,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-12,NO,NE,2025_06_NE_NO,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-12,NYJ,DEN,2025_06_DEN_NYJ,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-12,PIT,CLE,2025_06_CLE_PIT,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-12,TB,SF,2025_06_SF_TB,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-13,ATL,BUF,2025_06_BUF_ATL,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,6,2025-10-13,WAS,CHI,2025_06_CHI_WAS,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-16,CIN,PIT,2025_07_PIT_CIN,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-19,ARI,GB,2025_07_GB_ARI,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-19,CHI,NO,2025_07_NO_CHI,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-19,CLE,MIA,2025_07_MIA_CLE,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-19,DAL,WAS,2025_07_WAS_DAL,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-19,DEN,NYG,2025_07_NYG_DEN,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-19,JAX,LAR,2025_07_LA_JAX,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-19,KC,LV,2025_07_LV_KC,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-19,LAC,IND,2025_07_IND_LAC,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-19,MIN,PHI,2025_07_PHI_MIN,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-19,NYJ,CAR,2025_07_CAR_NYJ,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-19,SF,ATL,2025_07_ATL_SF,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-19,TEN,NE,2025_07_NE_TEN,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-20,DET,TB,2025_07_TB_DET,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,7,2025-10-20,SEA,HOU,2025_07_HOU_SEA,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-23,LAC,MIN,2025_08_MIN_LAC,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-26,ATL,MIA,2025_08_MIA_ATL,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-26,BAL,CHI,2025_08_CHI_BAL,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-26,CAR,BUF,2025_08_BUF_CAR,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-26,CIN,NYJ,2025_08_NYJ_CIN,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-26,DEN,DAL,2025_08_DAL_DEN,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-26,HOU,SF,2025_08_SF_HOU,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-26,IND,TEN,2025_08_TEN_IND,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-26,NE,CLE,2025_08_CLE_NE,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-26,NO,TB,2025_08_TB_NO,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-26,PHI,NYG,2025_08_NYG_PHI,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-26,PIT,GB,2025_08_GB_PIT,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,8,2025-10-27,KC,WAS,2025_08_WAS_KC,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-10-30,MIA,BAL,2025_09_BAL_MIA,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-02,BUF,KC,2025_09_KC_BUF,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-02,CIN,CHI,2025_09_CHI_CIN,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-02,DET,MIN,2025_09_MIN_DET,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-02,GB,CAR,2025_09_CAR_GB,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-02,HOU,DEN,2025_09_DEN_HOU,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-02,LAR,NO,2025_09_NO_LA,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-02,LV,JAX,2025_09_JAX_LV,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-02,NE,ATL,2025_09_ATL_NE,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-02,NYG,SF,2025_09_SF_NYG,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-02,PIT,IND,2025_09_IND_PIT,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-02,TEN,LAC,2025_09_LAC_TEN,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-02,WAS,SEA,2025_09_SEA_WAS,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,9,2025-11-03,DAL,ARI,2025_09_ARI_DAL,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,10,2025-11-06,DEN,LV,2025_10_LV_DEN,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,10,2025-11-09,CAR,NO,2025_10_NO_CAR,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,10,2025-11-09,CHI,NYG,2025_10_NYG_CHI,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,10,2025-11-09,HOU,JAX,2025_10_JAX_HOU,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,10,2025-11-09,IND,ATL,2025_10_ATL_IND,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,10,2025-11-09,LAC,PIT,2025_10_PIT_LAC,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,10,2025-11-09,MIA,BUF,2025_10_BUF_MIA,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,10,2025-11-09,MIN,BAL,2025_10_BAL_MIN,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025,10,2025-11-09,NYJ,CLE,2025_10_CLE_NYJ,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
